x,y,yaw
-0.426571,-0.308769,-0.524976
-0.423318,-0.334317,-0.537168
-0.41379,-0.340363,-0.536521
-0.436925,-0.353306,-0.546447
-0.444146,-0.353679,-0.559766
-0.444449,-0.337524,-0.573224
-0.440069,-0.314258,-0.529956
-0.418277,-0.303349,-0.533124
-0.398202,-0.301737,-0.542478
-0.374054,-0.320487,-0.5381
-0.354975,-0.347164,-0.543144
-0.356004,-0.349661,-0.552785
-0.36208,-0.362729,-0.560933
-0.372612,-0.385575,-0.56376
-0.39242,-0.401291,-0.558732
-0.384528,-0.408552,-0.529674
-0.36971,-0.431675,-0.514305
-0.373448,-0.453206,-0.515944
-0.369553,-0.461995,-0.525557
-0.370755,-0.467672,-0.529907
-0.379333,-0.485742,-0.537347
-0.388046,-0.510711,-0.564392
-0.393269,-0.555205,-0.561913
-0.421319,-0.57461,-0.555514
-0.425716,-0.575807,-0.557696
-0.436554,-0.57624,-0.569818
-0.425544,-0.57333,-0.570998
-0.439528,-0.607169,-0.549341
-0.46096,-0.58434,-0.550156
-0.472872,-0.547758,-0.562705
-0.490559,-0.525549,-0.582525
-0.482928,-0.509237,-0.600164
-0.508212,-0.506197,-0.607163
-0.515498,-0.48914,-0.597328
-0.511101,-0.491872,-0.6172
-0.517185,-0.506136,-0.616359
-0.525903,-0.506255,-0.605332
-0.564658,-0.512017,-0.623969
-0.595611,-0.507943,-0.614247
-0.624225,-0.497212,-0.610412
-0.650991,-0.47797,-0.591171
-0.683244,-0.480306,-0.567238
-0.703974,-0.445952,-0.527095
-0.70984,-0.442692,-0.504143
-0.700393,-0.460992,-0.507578
-0.671114,-0.490575,-0.525283
-0.654114,-0.506449,-0.52961
-0.665612,-0.52931,-0.533096
-0.678842,-0.535083,-0.523458
-0.649338,-0.542405,-0.526582
-0.570561,-0.54826,-0.563933
-0.527671,-0.548847,-0.549951
-0.508927,-0.576413,-0.529291
-0.517141,-0.560226,-0.509542
-0.53707,-0.563051,-0.537977
-0.565622,-0.565967,-0.540517
-0.567251,-0.585195,-0.526782
-0.553243,-0.601111,-0.536793
-0.528983,-0.595407,-0.572418
-0.541759,-0.573123,-0.597813
-0.534492,-0.554965,-0.585334
-0.561455,-0.563063,-0.566237
-0.572662,-0.591671,-0.557389
-0.522968,-0.611465,-0.519045
-0.503378,-0.61574,-0.451881
-0.535499,-0.602233,-0.445848
-0.552318,-0.57186,-0.472182
-0.575162,-0.565312,-0.506776
-0.575,-0.568153,-0.536773
-0.558921,-0.601466,-0.539908
-0.555311,-0.644222,-0.535458
-0.548315,-0.64959,-0.501513
-0.538692,-0.647782,-0.492155
-0.545823,-0.654293,-0.467589
-0.531836,-0.652941,-0.460699
-0.469445,-0.666165,-0.459906
-0.459574,-0.650999,-0.424123
-0.481305,-0.626134,-0.426522
